2022-10-20 16:52:59,183 - __main__ - INFO - Experimental details:
2022-10-20 16:52:59,183 - __main__ - INFO -     Number of Users : 10
2022-10-20 16:52:59,184 - __main__ - INFO -     Epochs     : 10
2022-10-20 16:52:59,184 - __main__ - INFO -     Optimizer : sgd
2022-10-20 16:52:59,184 - __main__ - INFO -     Learning Rate : 5e-06
2022-10-20 16:52:59,184 - __main__ - INFO -     Multi Model : True
2022-10-20 16:52:59,184 - __main__ - INFO -     Dataset : CINIC
2022-10-20 16:52:59,184 - __main__ - INFO -     IID
2022-10-20 16:52:59,184 - __main__ - INFO -     Batch size   : 40
2022-10-20 16:54:33,538 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 25/180, Acc: 7.5%, Loss: 2.6385
2022-10-20 16:54:38,989 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 50/180, Acc: 7.4%, Loss: 2.6339
2022-10-20 16:54:44,097 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 75/180, Acc: 8.0667%, Loss: 2.6136
2022-10-20 16:54:49,330 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 100/180, Acc: 8.525%, Loss: 2.5363
2022-10-20 16:54:54,734 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 125/180, Acc: 9.1%, Loss: 2.537
2022-10-20 16:55:00,245 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 150/180, Acc: 9.0667%, Loss: 2.5392
2022-10-20 16:55:05,665 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 175/180, Acc: 9.3286%, Loss: 2.522
2022-10-20 16:55:07,954 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 25/180, Acc: 11.1%, Loss: 2.4592
2022-10-20 16:55:09,098 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 50/180, Acc: 12.3%, Loss: 2.4298
2022-10-20 16:55:10,242 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 75/180, Acc: 12.7%, Loss: 2.4178
2022-10-20 16:55:11,376 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 100/180, Acc: 12.925%, Loss: 2.3876
2022-10-20 16:55:12,506 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 125/180, Acc: 12.84%, Loss: 2.3833
2022-10-20 16:55:13,668 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 150/180, Acc: 13.1%, Loss: 2.3438
2022-10-20 16:55:14,804 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 175/180, Acc: 13.4286%, Loss: 2.3632
2022-10-20 16:55:16,176 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 25/180, Acc: 13.4%, Loss: 2.3572
2022-10-20 16:55:17,315 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 50/180, Acc: 14.7%, Loss: 2.2956
2022-10-20 16:55:18,468 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 75/180, Acc: 15.3%, Loss: 2.3315
2022-10-20 16:55:19,645 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 100/180, Acc: 15.65%, Loss: 2.299
