2022-11-17 12:07:31,549 - __main__ - INFO - Experimental details:
2022-11-17 12:07:31,549 - __main__ - INFO -     Number of Users : 10
2022-11-17 12:07:31,549 - __main__ - INFO -     Epochs     : 10
2022-11-17 12:07:31,549 - __main__ - INFO -     Optimizer : sgd
2022-11-17 12:07:31,549 - __main__ - INFO -     Learning Rate : 5e-06
2022-11-17 12:07:31,549 - __main__ - INFO -     Multi Model : False
2022-11-17 12:07:31,549 - __main__ - INFO -     Dataset : CINIC
2022-11-17 12:07:31,549 - __main__ - INFO -     Non-IID#1
2022-11-17 12:07:31,549 - __main__ - INFO -     Batch size   : 40
2022-11-17 12:09:24,872 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 25/179, Acc: 0.0%, Loss: 14.1654
2022-11-17 12:09:26,768 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 50/179, Acc: 0.0%, Loss: 14.0094
2022-11-17 12:09:28,654 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 75/179, Acc: 0.0333%, Loss: 13.8652
2022-11-17 12:09:30,539 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 100/179, Acc: 0.05%, Loss: 14.0753
2022-11-17 12:09:32,465 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 125/179, Acc: 0.06%, Loss: 14.0731
2022-11-17 12:09:34,355 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 150/179, Acc: 0.05%, Loss: 13.9256
2022-11-17 12:09:36,241 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 175/179, Acc: 0.0714%, Loss: 13.6169
2022-11-17 12:09:38,580 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 25/179, Acc: 0.1%, Loss: 13.6631
2022-11-17 12:09:40,451 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 50/179, Acc: 0.05%, Loss: 13.5557
2022-11-17 12:09:42,332 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 75/179, Acc: 0.0333%, Loss: 13.5878
2022-11-17 12:09:44,186 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 100/179, Acc: 0.05%, Loss: 13.259
2022-11-17 12:09:46,044 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 125/179, Acc: 0.06%, Loss: 13.5988
2022-11-17 12:09:47,905 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 150/179, Acc: 0.0667%, Loss: 13.2289
2022-11-17 12:09:49,762 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 175/179, Acc: 0.0571%, Loss: 13.3594
2022-11-17 12:09:51,940 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 25/179, Acc: 0.4%, Loss: 13.2815
