2022-09-13 10:14:46,983 - __main__ - INFO - Experimental details:
2022-09-13 10:14:46,983 - __main__ - INFO -     Number of Users : 10
2022-09-13 10:14:46,983 - __main__ - INFO -     Epochs     : 10
2022-09-13 10:14:46,983 - __main__ - INFO -     Optimizer : sgd
2022-09-13 10:14:46,983 - __main__ - INFO -     Learning Rate : 5e-06
2022-09-13 10:14:46,983 - __main__ - INFO -     Multi Model : False
2022-09-13 10:14:46,983 - __main__ - INFO -     Dataset : FMNIST
2022-09-13 10:14:46,983 - __main__ - INFO -     IID
2022-09-13 10:14:46,983 - __main__ - INFO -     Batch size   : 40
2022-09-13 10:14:55,203 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 25/120, Acc: 10.7%, Loss: 2.9193
2022-09-13 10:14:56,036 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 50/120, Acc: 10.45%, Loss: 2.9107
2022-09-13 10:14:56,935 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 75/120, Acc: 10.6333%, Loss: 2.8925
2022-09-13 10:14:57,748 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 100/120, Acc: 10.525%, Loss: 2.9245
2022-09-13 10:14:59,370 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 25/120, Acc: 9.9%, Loss: 2.8336
2022-09-13 10:15:00,203 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 50/120, Acc: 10.3%, Loss: 2.7389
2022-09-13 10:15:01,088 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 75/120, Acc: 10.6333%, Loss: 2.7998
2022-09-13 10:15:01,931 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 100/120, Acc: 10.95%, Loss: 2.7588
2022-09-13 10:15:03,524 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 25/120, Acc: 11.7%, Loss: 2.7959
2022-09-13 10:15:04,354 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 50/120, Acc: 12.0%, Loss: 2.7487
2022-09-13 10:15:05,219 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 75/120, Acc: 11.8333%, Loss: 2.7751
2022-09-13 10:15:06,046 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 100/120, Acc: 12.175%, Loss: 2.7477
2022-09-13 10:15:07,567 - __main__ - INFO - Device: 1, Epoch: 4/10, Step: 25/120, Acc: 11.2%, Loss: 2.706
2022-09-13 10:15:08,451 - __main__ - INFO - Device: 1, Epoch: 4/10, Step: 50/120, Acc: 10.45%, Loss: 2.74
2022-09-13 10:15:09,345 - __main__ - INFO - Device: 1, Epoch: 4/10, Step: 75/120, Acc: 11.6%, Loss: 2.5953
2022-09-13 10:15:10,183 - __main__ - INFO - Device: 1, Epoch: 4/10, Step: 100/120, Acc: 12.175%, Loss: 2.6648
2022-09-13 10:15:11,715 - __main__ - INFO - Device: 1, Epoch: 5/10, Step: 25/120, Acc: 14.4%, Loss: 2.6034
2022-09-13 10:15:12,555 - __main__ - INFO - Device: 1, Epoch: 5/10, Step: 50/120, Acc: 14.0%, Loss: 2.6391
2022-09-13 10:15:13,414 - __main__ - INFO - Device: 1, Epoch: 5/10, Step: 75/120, Acc: 13.9667%, Loss: 2.6444
2022-09-13 10:15:14,247 - __main__ - INFO - Device: 1, Epoch: 5/10, Step: 100/120, Acc: 14.45%, Loss: 2.5789
2022-09-13 10:15:15,799 - __main__ - INFO - Device: 1, Epoch: 6/10, Step: 25/120, Acc: 15.3%, Loss: 2.6183
2022-09-13 10:15:16,611 - __main__ - INFO - Device: 1, Epoch: 6/10, Step: 50/120, Acc: 15.05%, Loss: 2.5804
2022-09-13 10:15:17,454 - __main__ - INFO - Device: 1, Epoch: 6/10, Step: 75/120, Acc: 14.4667%, Loss: 2.6518
2022-09-13 10:15:18,293 - __main__ - INFO - Device: 1, Epoch: 6/10, Step: 100/120, Acc: 15.3%, Loss: 2.5074
2022-09-13 10:15:19,940 - __main__ - INFO - Device: 1, Epoch: 7/10, Step: 25/120, Acc: 14.1%, Loss: 2.6021
2022-09-13 10:15:20,821 - __main__ - INFO - Device: 1, Epoch: 7/10, Step: 50/120, Acc: 14.6%, Loss: 2.5303
2022-09-13 10:15:21,679 - __main__ - INFO - Device: 1, Epoch: 7/10, Step: 75/120, Acc: 15.2667%, Loss: 2.5078
2022-09-13 10:15:22,496 - __main__ - INFO - Device: 1, Epoch: 7/10, Step: 100/120, Acc: 15.525%, Loss: 2.5036
2022-09-13 10:15:24,018 - __main__ - INFO - Device: 1, Epoch: 8/10, Step: 25/120, Acc: 17.8%, Loss: 2.4843
2022-09-13 10:15:24,894 - __main__ - INFO - Device: 1, Epoch: 8/10, Step: 50/120, Acc: 17.05%, Loss: 2.4957
2022-09-13 10:15:25,752 - __main__ - INFO - Device: 1, Epoch: 8/10, Step: 75/120, Acc: 17.2%, Loss: 2.4756
2022-09-13 10:15:26,636 - __main__ - INFO - Device: 1, Epoch: 8/10, Step: 100/120, Acc: 17.15%, Loss: 2.4898
2022-09-13 10:15:28,188 - __main__ - INFO - Device: 1, Epoch: 9/10, Step: 25/120, Acc: 17.3%, Loss: 2.4783
2022-09-13 10:15:29,055 - __main__ - INFO - Device: 1, Epoch: 9/10, Step: 50/120, Acc: 18.1%, Loss: 2.4623
2022-09-13 10:15:29,881 - __main__ - INFO - Device: 1, Epoch: 9/10, Step: 75/120, Acc: 17.6%, Loss: 2.5038
2022-09-13 10:15:30,765 - __main__ - INFO - Device: 1, Epoch: 9/10, Step: 100/120, Acc: 17.6%, Loss: 2.4336
2022-09-13 10:15:32,258 - __main__ - INFO - Device: 1, Epoch: 10/10, Step: 25/120, Acc: 19.2%, Loss: 2.4367
2022-09-13 10:15:33,098 - __main__ - INFO - Device: 1, Epoch: 10/10, Step: 50/120, Acc: 19.65%, Loss: 2.3824
2022-09-13 10:15:33,978 - __main__ - INFO - Device: 1, Epoch: 10/10, Step: 75/120, Acc: 19.0333%, Loss: 2.4534
2022-09-13 10:15:34,832 - __main__ - INFO - Device: 1, Epoch: 10/10, Step: 100/120, Acc: 19.325%, Loss: 2.3905
2022-09-13 10:15:45,797 - __main__ - INFO - Test Acc: 21.54 % Loss: 2.25
2022-09-13 10:15:46,660 - __main__ - INFO - Device: 2, Epoch: 1/10, Step: 25/120, Acc: 12.2%, Loss: 2.9145
2022-09-13 10:15:47,504 - __main__ - INFO - Device: 2, Epoch: 1/10, Step: 50/120, Acc: 12.55%, Loss: 2.8625
2022-09-13 10:15:48,345 - __main__ - INFO - Device: 2, Epoch: 1/10, Step: 75/120, Acc: 12.2667%, Loss: 2.8304
2022-09-13 10:15:49,237 - __main__ - INFO - Device: 2, Epoch: 1/10, Step: 100/120, Acc: 12.225%, Loss: 2.8504
2022-09-13 10:15:50,827 - __main__ - INFO - Device: 2, Epoch: 2/10, Step: 25/120, Acc: 12.4%, Loss: 2.7724
2022-09-13 10:15:51,743 - __main__ - INFO - Device: 2, Epoch: 2/10, Step: 50/120, Acc: 12.1%, Loss: 2.8193
2022-09-13 10:15:52,642 - __main__ - INFO - Device: 2, Epoch: 2/10, Step: 75/120, Acc: 12.4%, Loss: 2.7552
2022-09-13 10:15:53,497 - __main__ - INFO - Device: 2, Epoch: 2/10, Step: 100/120, Acc: 12.65%, Loss: 2.7148
2022-09-13 10:15:55,020 - __main__ - INFO - Device: 2, Epoch: 3/10, Step: 25/120, Acc: 12.8%, Loss: 2.7633
2022-09-13 10:15:55,864 - __main__ - INFO - Device: 2, Epoch: 3/10, Step: 50/120, Acc: 13.5%, Loss: 2.6639
2022-09-13 10:15:56,726 - __main__ - INFO - Device: 2, Epoch: 3/10, Step: 75/120, Acc: 13.5%, Loss: 2.7049
2022-09-13 10:15:57,577 - __main__ - INFO - Device: 2, Epoch: 3/10, Step: 100/120, Acc: 13.2%, Loss: 2.6737
2022-09-13 10:15:59,061 - __main__ - INFO - Device: 2, Epoch: 4/10, Step: 25/120, Acc: 12.0%, Loss: 2.6807
2022-09-13 10:15:59,881 - __main__ - INFO - Device: 2, Epoch: 4/10, Step: 50/120, Acc: 13.85%, Loss: 2.5964
2022-09-13 10:16:00,734 - __main__ - INFO - Device: 2, Epoch: 4/10, Step: 75/120, Acc: 14.1333%, Loss: 2.6233
2022-09-13 10:16:01,593 - __main__ - INFO - Device: 2, Epoch: 4/10, Step: 100/120, Acc: 13.925%, Loss: 2.6423
2022-09-13 10:16:03,080 - __main__ - INFO - Device: 2, Epoch: 5/10, Step: 25/120, Acc: 14.6%, Loss: 2.6349
2022-09-13 10:16:03,955 - __main__ - INFO - Device: 2, Epoch: 5/10, Step: 50/120, Acc: 15.05%, Loss: 2.5995
2022-09-13 10:16:04,769 - __main__ - INFO - Device: 2, Epoch: 5/10, Step: 75/120, Acc: 14.5667%, Loss: 2.6672
2022-09-13 10:16:05,616 - __main__ - INFO - Device: 2, Epoch: 5/10, Step: 100/120, Acc: 15.3%, Loss: 2.5157
2022-09-13 10:16:07,144 - __main__ - INFO - Device: 2, Epoch: 6/10, Step: 25/120, Acc: 17.2%, Loss: 2.5465
2022-09-13 10:16:07,957 - __main__ - INFO - Device: 2, Epoch: 6/10, Step: 50/120, Acc: 16.95%, Loss: 2.5691
2022-09-13 10:16:08,801 - __main__ - INFO - Device: 2, Epoch: 6/10, Step: 75/120, Acc: 15.8667%, Loss: 2.6176
2022-09-13 10:16:09,674 - __main__ - INFO - Device: 2, Epoch: 6/10, Step: 100/120, Acc: 15.6%, Loss: 2.5662
2022-09-13 10:16:11,242 - __main__ - INFO - Device: 2, Epoch: 7/10, Step: 25/120, Acc: 14.7%, Loss: 2.5895
2022-09-13 10:16:12,061 - __main__ - INFO - Device: 2, Epoch: 7/10, Step: 50/120, Acc: 15.65%, Loss: 2.519
2022-09-13 10:16:12,911 - __main__ - INFO - Device: 2, Epoch: 7/10, Step: 75/120, Acc: 16.3667%, Loss: 2.5053
2022-09-13 10:16:13,731 - __main__ - INFO - Device: 2, Epoch: 7/10, Step: 100/120, Acc: 16.425%, Loss: 2.5314
2022-09-13 10:16:15,241 - __main__ - INFO - Device: 2, Epoch: 8/10, Step: 25/120, Acc: 15.4%, Loss: 2.5586
2022-09-13 10:16:16,078 - __main__ - INFO - Device: 2, Epoch: 8/10, Step: 50/120, Acc: 15.65%, Loss: 2.5109
2022-09-13 10:16:16,941 - __main__ - INFO - Device: 2, Epoch: 8/10, Step: 75/120, Acc: 16.2333%, Loss: 2.4993
2022-09-13 10:16:17,761 - __main__ - INFO - Device: 2, Epoch: 8/10, Step: 100/120, Acc: 17.325%, Loss: 2.3945
2022-09-13 10:16:19,324 - __main__ - INFO - Device: 2, Epoch: 9/10, Step: 25/120, Acc: 18.7%, Loss: 2.4674
2022-09-13 10:16:20,162 - __main__ - INFO - Device: 2, Epoch: 9/10, Step: 50/120, Acc: 19.1%, Loss: 2.4126
2022-09-13 10:16:21,010 - __main__ - INFO - Device: 2, Epoch: 9/10, Step: 75/120, Acc: 19.2%, Loss: 2.4366
2022-09-13 10:16:21,901 - __main__ - INFO - Device: 2, Epoch: 9/10, Step: 100/120, Acc: 19.575%, Loss: 2.3926
2022-09-13 10:16:23,420 - __main__ - INFO - Device: 2, Epoch: 10/10, Step: 25/120, Acc: 18.8%, Loss: 2.4216
2022-09-13 10:16:24,295 - __main__ - INFO - Device: 2, Epoch: 10/10, Step: 50/120, Acc: 19.85%, Loss: 2.4033
2022-09-13 10:16:25,157 - __main__ - INFO - Device: 2, Epoch: 10/10, Step: 75/120, Acc: 20.3%, Loss: 2.3727
2022-09-13 10:16:26,015 - __main__ - INFO - Device: 2, Epoch: 10/10, Step: 100/120, Acc: 20.1%, Loss: 2.4506
2022-09-13 10:16:36,920 - __main__ - INFO - Test Acc: 23.31 % Loss: 2.22
2022-09-13 10:16:37,742 - __main__ - INFO - Device: 3, Epoch: 1/10, Step: 25/120, Acc: 9.5%, Loss: 3.0943
2022-09-13 10:16:38,629 - __main__ - INFO - Device: 3, Epoch: 1/10, Step: 50/120, Acc: 9.95%, Loss: 2.9677
2022-09-13 10:16:39,484 - __main__ - INFO - Device: 3, Epoch: 1/10, Step: 75/120, Acc: 9.9667%, Loss: 2.9582
2022-09-13 10:16:40,342 - __main__ - INFO - Device: 3, Epoch: 1/10, Step: 100/120, Acc: 9.65%, Loss: 3.0008
2022-09-13 10:16:41,871 - __main__ - INFO - Device: 3, Epoch: 2/10, Step: 25/120, Acc: 11.6%, Loss: 2.8945
2022-09-13 10:16:42,747 - __main__ - INFO - Device: 3, Epoch: 2/10, Step: 50/120, Acc: 11.65%, Loss: 2.818
2022-09-13 10:16:43,596 - __main__ - INFO - Device: 3, Epoch: 2/10, Step: 75/120, Acc: 10.8%, Loss: 2.9128
2022-09-13 10:16:44,534 - __main__ - INFO - Device: 3, Epoch: 2/10, Step: 100/120, Acc: 10.825%, Loss: 2.8552
2022-09-13 10:16:46,101 - __main__ - INFO - Device: 3, Epoch: 3/10, Step: 25/120, Acc: 7.0%, Loss: 2.9625
2022-09-13 10:16:46,984 - __main__ - INFO - Device: 3, Epoch: 3/10, Step: 50/120, Acc: 8.3%, Loss: 2.8408
2022-09-13 10:16:47,843 - __main__ - INFO - Device: 3, Epoch: 3/10, Step: 75/120, Acc: 8.9333%, Loss: 2.772
2022-09-13 10:16:48,726 - __main__ - INFO - Device: 3, Epoch: 3/10, Step: 100/120, Acc: 9.325%, Loss: 2.7928
2022-09-13 10:16:50,288 - __main__ - INFO - Device: 3, Epoch: 4/10, Step: 25/120, Acc: 11.6%, Loss: 2.7403
2022-09-13 10:16:51,127 - __main__ - INFO - Device: 3, Epoch: 4/10, Step: 50/120, Acc: 11.3%, Loss: 2.7893
2022-09-13 10:16:51,986 - __main__ - INFO - Device: 3, Epoch: 4/10, Step: 75/120, Acc: 11.3667%, Loss: 2.7584
2022-09-13 10:16:52,830 - __main__ - INFO - Device: 3, Epoch: 4/10, Step: 100/120, Acc: 11.125%, Loss: 2.7736
2022-09-13 10:16:54,386 - __main__ - INFO - Device: 3, Epoch: 5/10, Step: 25/120, Acc: 12.6%, Loss: 2.7733
2022-09-13 10:16:55,226 - __main__ - INFO - Device: 3, Epoch: 5/10, Step: 50/120, Acc: 13.45%, Loss: 2.6538
2022-09-13 10:16:56,075 - __main__ - INFO - Device: 3, Epoch: 5/10, Step: 75/120, Acc: 13.2667%, Loss: 2.6703
2022-09-13 10:16:56,925 - __main__ - INFO - Device: 3, Epoch: 5/10, Step: 100/120, Acc: 12.85%, Loss: 2.6995
2022-09-13 10:16:58,464 - __main__ - INFO - Device: 3, Epoch: 6/10, Step: 25/120, Acc: 12.3%, Loss: 2.685
2022-09-13 10:16:59,350 - __main__ - INFO - Device: 3, Epoch: 6/10, Step: 50/120, Acc: 11.8%, Loss: 2.676
2022-09-13 10:17:00,217 - __main__ - INFO - Device: 3, Epoch: 6/10, Step: 75/120, Acc: 11.7667%, Loss: 2.7123
2022-09-13 10:17:01,085 - __main__ - INFO - Device: 3, Epoch: 6/10, Step: 100/120, Acc: 11.85%, Loss: 2.6926
2022-09-13 10:17:02,680 - __main__ - INFO - Device: 3, Epoch: 7/10, Step: 25/120, Acc: 13.1%, Loss: 2.631
2022-09-13 10:17:03,530 - __main__ - INFO - Device: 3, Epoch: 7/10, Step: 50/120, Acc: 13.0%, Loss: 2.6299
2022-09-13 10:17:04,382 - __main__ - INFO - Device: 3, Epoch: 7/10, Step: 75/120, Acc: 13.2667%, Loss: 2.5713
2022-09-13 10:17:05,280 - __main__ - INFO - Device: 3, Epoch: 7/10, Step: 100/120, Acc: 13.4%, Loss: 2.6166
2022-09-13 10:17:06,854 - __main__ - INFO - Device: 3, Epoch: 8/10, Step: 25/120, Acc: 13.9%, Loss: 2.5527
2022-09-13 10:17:07,709 - __main__ - INFO - Device: 3, Epoch: 8/10, Step: 50/120, Acc: 14.65%, Loss: 2.5408
2022-09-13 10:17:08,570 - __main__ - INFO - Device: 3, Epoch: 8/10, Step: 75/120, Acc: 14.5333%, Loss: 2.6363
2022-09-13 10:17:09,466 - __main__ - INFO - Device: 3, Epoch: 8/10, Step: 100/120, Acc: 14.8%, Loss: 2.5605
2022-09-13 10:17:11,021 - __main__ - INFO - Device: 3, Epoch: 9/10, Step: 25/120, Acc: 14.6%, Loss: 2.5772
2022-09-13 10:17:11,845 - __main__ - INFO - Device: 3, Epoch: 9/10, Step: 50/120, Acc: 14.15%, Loss: 2.5939
