2022-09-03 03:35:00,062 - __main__ - INFO - Experimental details:
2022-09-03 03:35:00,062 - __main__ - INFO -     Number of Users : 10
2022-09-03 03:35:00,063 - __main__ - INFO -     Epochs     : 10
2022-09-03 03:35:00,063 - __main__ - INFO -     Optimizer : sgd
2022-09-03 03:35:00,063 - __main__ - INFO -     Learning Rate : 5e-06
2022-09-03 03:35:00,063 - __main__ - INFO -     Multi Model : True
2022-09-03 03:35:00,063 - __main__ - INFO -     Dataset : FMNIST
2022-09-03 03:35:00,063 - __main__ - INFO -     IID
2022-09-03 03:35:00,063 - __main__ - INFO -     Batch size   : 40
2022-09-03 03:35:08,353 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 25/120, Acc: 9.1%, Loss: 2.6619
2022-09-03 03:35:08,850 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 50/120, Acc: 9.85%, Loss: 2.606
2022-09-03 03:35:09,375 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 75/120, Acc: 10.7333%, Loss: 2.5919
2022-09-03 03:35:10,027 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 100/120, Acc: 11.1%, Loss: 2.4783
2022-09-03 03:35:10,955 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 25/120, Acc: 16.0%, Loss: 2.3979
2022-09-03 03:35:11,485 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 50/120, Acc: 17.3%, Loss: 2.3664
2022-09-03 03:35:11,974 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 75/120, Acc: 16.9667%, Loss: 2.38
2022-09-03 03:35:12,458 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 100/120, Acc: 17.55%, Loss: 2.2872
2022-09-03 03:35:13,349 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 25/120, Acc: 20.0%, Loss: 2.2519
2022-09-03 03:35:13,844 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 50/120, Acc: 20.6%, Loss: 2.2209
2022-09-03 03:35:14,328 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 75/120, Acc: 20.4%, Loss: 2.2046
2022-09-03 03:35:14,803 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 100/120, Acc: 21.375%, Loss: 2.1295
2022-09-03 03:35:15,695 - __main__ - INFO - Device: 1, Epoch: 4/10, Step: 25/120, Acc: 21.8%, Loss: 2.1443
