2022-09-02 21:43:45,776 - __main__ - INFO - Experimental details:
2022-09-02 21:43:45,776 - __main__ - INFO -     Number of Users : 10
2022-09-02 21:43:45,776 - __main__ - INFO -     Epochs     : 10
2022-09-02 21:43:45,776 - __main__ - INFO -     Optimizer : sgd
2022-09-02 21:43:45,776 - __main__ - INFO -     Learning Rate : 5e-06
2022-09-02 21:43:45,776 - __main__ - INFO -     Multi Model : True
2022-09-02 21:43:45,776 - __main__ - INFO -     Dataset : FMNIST
2022-09-02 21:43:45,776 - __main__ - INFO -     Non-IID#2
2022-09-02 21:43:45,776 - __main__ - INFO -     Batch size   : 40
2022-09-02 21:43:55,649 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 25/120, Acc: 30.5%, Loss: 1.9442
2022-09-02 21:43:56,196 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 50/120, Acc: 33.4%, Loss: 1.8136
2022-09-02 21:43:56,718 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 75/120, Acc: 36.3%, Loss: 1.6629
2022-09-02 21:43:57,270 - __main__ - INFO - Device: 1, Epoch: 1/10, Step: 100/120, Acc: 39.8%, Loss: 1.4939
2022-09-02 21:43:58,224 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 25/120, Acc: 57.2%, Loss: 1.2894
2022-09-02 21:43:58,728 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 50/120, Acc: 61.3%, Loss: 1.1562
2022-09-02 21:43:59,265 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 75/120, Acc: 63.2%, Loss: 1.0967
2022-09-02 21:43:59,807 - __main__ - INFO - Device: 1, Epoch: 2/10, Step: 100/120, Acc: 64.325%, Loss: 1.0345
2022-09-02 21:44:00,716 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 25/120, Acc: 74.7%, Loss: 0.9087
2022-09-02 21:44:01,260 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 50/120, Acc: 75.8%, Loss: 0.8603
2022-09-02 21:44:01,858 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 75/120, Acc: 76.4667%, Loss: 0.827
2022-09-02 21:44:02,401 - __main__ - INFO - Device: 1, Epoch: 3/10, Step: 100/120, Acc: 78.15%, Loss: 0.7482
2022-09-02 21:44:03,385 - __main__ - INFO - Device: 1, Epoch: 4/10, Step: 25/120, Acc: 82.5%, Loss: 0.7122
2022-09-02 21:44:03,875 - __main__ - INFO - Device: 1, Epoch: 4/10, Step: 50/120, Acc: 83.4%, Loss: 0.6633
2022-09-02 21:44:04,381 - __main__ - INFO - Device: 1, Epoch: 4/10, Step: 75/120, Acc: 83.7667%, Loss: 0.6418
2022-09-02 21:44:04,891 - __main__ - INFO - Device: 1, Epoch: 4/10, Step: 100/120, Acc: 84.025%, Loss: 0.6308
2022-09-02 21:44:05,757 - __main__ - INFO - Device: 1, Epoch: 5/10, Step: 25/120, Acc: 85.6%, Loss: 0.5806
2022-09-02 21:44:06,299 - __main__ - INFO - Device: 1, Epoch: 5/10, Step: 50/120, Acc: 85.95%, Loss: 0.5715
2022-09-02 21:44:06,821 - __main__ - INFO - Device: 1, Epoch: 5/10, Step: 75/120, Acc: 86.8667%, Loss: 0.5269
2022-09-02 21:44:07,320 - __main__ - INFO - Device: 1, Epoch: 5/10, Step: 100/120, Acc: 86.725%, Loss: 0.5366
2022-09-02 21:44:08,285 - __main__ - INFO - Device: 1, Epoch: 6/10, Step: 25/120, Acc: 88.5%, Loss: 0.5018
2022-09-02 21:44:08,815 - __main__ - INFO - Device: 1, Epoch: 6/10, Step: 50/120, Acc: 89.2%, Loss: 0.462
2022-09-02 21:44:09,309 - __main__ - INFO - Device: 1, Epoch: 6/10, Step: 75/120, Acc: 89.9%, Loss: 0.4652
2022-09-02 21:44:09,842 - __main__ - INFO - Device: 1, Epoch: 6/10, Step: 100/120, Acc: 90.05%, Loss: 0.4361
2022-09-02 21:44:10,755 - __main__ - INFO - Device: 1, Epoch: 7/10, Step: 25/120, Acc: 91.9%, Loss: 0.4118
2022-09-02 21:44:11,246 - __main__ - INFO - Device: 1, Epoch: 7/10, Step: 50/120, Acc: 91.0%, Loss: 0.4209
2022-09-02 21:44:11,742 - __main__ - INFO - Device: 1, Epoch: 7/10, Step: 75/120, Acc: 90.5667%, Loss: 0.42
2022-09-02 21:44:12,277 - __main__ - INFO - Device: 1, Epoch: 7/10, Step: 100/120, Acc: 90.35%, Loss: 0.4106
2022-09-02 21:44:13,207 - __main__ - INFO - Device: 1, Epoch: 8/10, Step: 25/120, Acc: 91.3%, Loss: 0.3882
2022-09-02 21:44:13,703 - __main__ - INFO - Device: 1, Epoch: 8/10, Step: 50/120, Acc: 91.8%, Loss: 0.372
2022-09-02 21:44:14,206 - __main__ - INFO - Device: 1, Epoch: 8/10, Step: 75/120, Acc: 91.6333%, Loss: 0.361
2022-09-02 21:44:14,731 - __main__ - INFO - Device: 1, Epoch: 8/10, Step: 100/120, Acc: 91.625%, Loss: 0.3645
2022-09-02 21:44:15,649 - __main__ - INFO - Device: 1, Epoch: 9/10, Step: 25/120, Acc: 91.9%, Loss: 0.3339
2022-09-02 21:44:16,166 - __main__ - INFO - Device: 1, Epoch: 9/10, Step: 50/120, Acc: 92.25%, Loss: 0.3273
2022-09-02 21:44:16,722 - __main__ - INFO - Device: 1, Epoch: 9/10, Step: 75/120, Acc: 91.9%, Loss: 0.3372
2022-09-02 21:44:17,211 - __main__ - INFO - Device: 1, Epoch: 9/10, Step: 100/120, Acc: 92.2%, Loss: 0.3174
2022-09-02 21:44:18,127 - __main__ - INFO - Device: 1, Epoch: 10/10, Step: 25/120, Acc: 93.9%, Loss: 0.2943
2022-09-02 21:44:18,729 - __main__ - INFO - Device: 1, Epoch: 10/10, Step: 50/120, Acc: 93.0%, Loss: 0.3066
2022-09-02 21:44:19,243 - __main__ - INFO - Device: 1, Epoch: 10/10, Step: 75/120, Acc: 92.8333%, Loss: 0.3038
